Sample no.,Latitude,Longitude,Elevation,id,Species,Date,Time,Note,% dieback,Seed,Seed_amount,,,,,,,,,,,,,,
MON0457,-36.34181011,148.5794036,1140.961914,456,E. rubida,20/01/2021,,Valve House. Taken by JB for spp. diffn. project,NA,Yes,1.6,,,,,,,,,,,,,,
MON0458,-36.34182687,148.5796529,1140.000488,457,E. dives,20/01/2021,,Valve House. Taken by JB for spp. diffn. project,NA,Yes,0.2,,,,,,,,,,,,,,
MON0459,-36.36912371,148.5896825,938.125,458,E. viminalis,20/01/2021,,Thredbo River Picnic area. Taken by JB for spp. diffn. project,NA,Yes,0.8,,,,,,,,,,,,,,
MON0460,-36.292374,148.513686,1089.288208,459,E. dalrympleana,09/02/2021,1035,Large tree,0,Yes,0.4,,,,,,,,,,,,,,
MON0461,-36.292418,148.513759,1096.121094,460,E. pauciflora,09/02/2021,1043,,NA,Yes,1.3,,,,,,,,,,,,,,
MON0462,-36.29334,148.515409,1104.802979,461,E. pauciflora,09/02/2021,1054,Young tree,0,Yes,1,,,,,,,,,,,,,,
MON0463,-36.293557,148.516768,1097.562256,462,E. dalrympleana,09/02/2021,1103,"No fruit, gall infested, many galls had whole branchheads affeted",NA,No,NA,,,,,,,,,,,,,,
MON0464,-36.293584,148.516778,1096.675537,463,E. pauciflora,09/02/2021,1110,Small,0,Yes,0.8,,,,,,,,,,,,,,
MON0465,-36.295175,148.517762,1123.71521,464,E. dalrympleana,09/02/2021,1125,"Medium, healthy",0,Yes,0.4,,,,,,,,,,,,,,
MON0466,-36.296097,148.519307,1149.568115,465,E. pauciflora,09/02/2021,1137,"Young, healthy ",0,Yes,0.4,,,,,,,,,,,,,,
MON0467,-36.296124,148.519343,1147.185547,466,E. dalrympleana,09/02/2021,1141,"Small, healthy, a bit of gall ",0,Yes,0.1,,,,,,,,,,,,,,
MON0468,-36.297275,148.519806,1164.494507,467,E. pauciflora,09/02/2021,1200,"Young, healthy ",0,Yes,1.6,,,,,,,,,,,,,,
MON0469,-36.297662,148.520137,1153.040161,468,E. dalrympleana,09/02/2021,1215,"Old, healthy, some galls, no seed",0,No,NA,,,,,,,,,,,,,,
MON0470,-36.29806,148.521663,1097.105713,469,E. dalrympleana,09/02/2021,1232,"Young, healthy, no galls ",0,Yes,1.7,,,,,,,,,,,,,,
MON0471,-36.298524,148.522969,1085.414551,470,E. pauciflora,09/02/2021,1243,"Young, healthy",0,Yes,2.4,,,,,,,,,,,,,,
MON0472,-36.298691,148.523352,1086.845581,471,E. dalrympleana,09/02/2021,1247,Juvenile,NA,No,NA ,,,,,,,,,,,,,,
MON0473,-36.300806,148.525747,1095.148804,472,E. dalrympleana,09/02/2021,1300,Check if seed,NA,Yes,<0.1,,,,,,,,,,,,,,
MON0474,-36.300715,148.525729,1089.830322,473,E. pauciflora,09/02/2021,1331,"Small, healthy ",0,No,NA ,,,,,,,,,,,,,,
MON0475,-36.300842,148.525882,1087.959961,474,E. stellulata,09/02/2021,1338,,NA,Yes,<0.1,,,,,,,,,,,,,,
MON0476,-36.30125,148.526342,1089.088989,475,E. dives,09/02/2021,1344,"Young, healthy",0,Yes,0.4,,,,,,,,,,,,,,
MON0477,-36.301988,148.527332,1078.031128,476,E. dalrympleana,09/02/2021,1354,,NA,No,NA,,,,,,,,,,,,,,
MON0478,-36.302501,148.527394,1068.133545,477,E. stellulata,09/02/2021,1359,"Small, healthy",0,Yes,0.1,,,,,,,,,,,,,,
MON0479,-36.302943,148.528005,1078.2948,478,E. pauciflora,09/02/2021,1405,"Young, healthy ",0,Yes,1.1,,,,,,,,,,,,,,
MON0480,-36.302765,148.529008,1061.738037,479,E. dives,09/02/2021,1410,"Meduim age, healthy",0,Yes,0.3,,,,,,,,,,,,,,
MON0481,-36.303527,148.530284,1081.612793,480,E. rubida,09/02/2021,1418,"Young, very grey green ",NA,Yes,0.1,,,,,,,,,,,,,,
MON0482,-36.303595,148.530295,1086.786011,481,E. viminalis,09/02/2021,1424,,NA,No,NA,,,,,,,,,,,,,,
MON0483,-36.303606,148.530257,1087.535034,482,E. stellulata,09/02/2021,1425,small,NA,Yes,0.3,,,,,,,,,,,,,,
MON0484,-36.304265,148.531367,1093.036743,483,E. dives,09/02/2021,1434,"Young, healthy",0,Yes,0.5,,,,,,,,,,,,,,
MON0485,-36.304349,148.531579,1092.618774,484,E. rubida,09/02/2021,1441,"Healthy, medium age",0,Yes,0.4,,,,,,,,,,,,,,
MON0486,-36.30599,148.533795,1083.925537,485,E. dives,09/02/2021,1446,,NA,Yes,0.3,,,,,,,,,,,,,,
MON0487,-36.306008,148.533845,1083.250732,486,E. pauciflora,09/02/2021,1456,"Young, healthy",0,Yes,2,,,,,,,,,,,,,,
MON0488,-36.306004,148.533852,1082.184082,487,E. rubida,09/02/2021,1456,Juvenile,NA,No,NA,,,,,,,,,,,,,,
MON0489,-36.306739,148.534725,1074.556763,488,E. stellulata,09/02/2021,1504,,NA,Yes,0.1,,,,,,,,,,,,,,
MON0490,-36.307851,148.536231,1068.484497,489,E. dives,09/02/2021,1514,"Small, healthy",0,Yes,0.2,,,,,,,,,,,,,,
MON0491,-36.308437,148.536116,1059.428223,490,E. viminalis,09/02/2021,1517,"Large, healthy ",0,Yes,0.3,,,,,,,,,,,,,,
MON0492,-36.309447,148.535738,1058.229126,491,E. stellulata,09/02/2021,1522,"Young, healthy ",0,Yes,0.2,,,,,,,,,,,,,,
MON0493,-36.309798,148.535319,1055.253418,492,E. viminalis,09/02/2021,1529,"Large, healthy, creek ",0,Yes,0.4,,,,,,,,,,,,,,
MON0494,-36.309801,148.535349,1057.175537,493,E. pauciflora,09/02/2021,1532,,NA,No,NA,,,,,,,,,,,,,,
MON0495,-36.310052,148.535696,1059.094604,494,E. dives,09/02/2021,1536,"Young, healthy ",0,Yes,0.3,,,,,,,,,,,,,,
MON0496,-36.309668,148.536805,1056.506958,495,E. viminalis,09/02/2021,1541,"Small, healthy",0,No,NA,,,,,,,,,,,,,,
MON0497,-36.30957,148.537428,1063.833862,496,E. rubida,09/02/2021,1548,Young,NA,No,NA,,,,,,,,,,,,,,
MON0498,-36.310776,148.538324,1073.096802,497,E. pauciflora,09/02/2021,1555,"Small, regrowth from stump, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0499,-36.310848,148.538283,1072.46936,498,E. stellulata,09/02/2021,1558,Small-medium,NA,Yes,0.4,,,,,,,,,,,,,,
MON0500,-36.31118,148.539025,1062.488892,499,E. rubida,09/02/2021,1605,"Large, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0501,-36.312884,148.539714,1067.557861,500,E. dives,09/02/2021,1612,Old,70,Yes,0.33,,,,,,,,,,,,,,
MON0502,-36.313114,148.539948,1058.987061,501,E. rubida,09/02/2021,1620,,NA,No,NA,,,,,,,,,,,,,,
MON0503,-36.313316,148.540128,1052.599854,502,E. pauciflora,09/02/2021,1625,"Young, healthy",0,Yes,0.75,,,,,,,,,,,,,,
MON0504,-36.314216,148.540971,1052.297485,503,E. rubida,09/02/2021,1631,"Meduim, healthy ",0,Yes,0.1,,,,,,,,,,,,,,
MON0505,-36.314455,148.541303,1047.734619,504,E. dives,09/02/2021,1634,"Small, healthy",0,Yes,0.75,,,,,,,,,,,,,,
MON0506,-36.315091,148.542937,1032.963135,505,E. stellulata,09/02/2021,1641,"Young, healthy",0,Yes,0.33,,,,,,,,,,,,,,
MON0507,-36.316576,148.54437,1019.875305,506,E. viminalis,09/02/2021,1649,"Medium, healthy",0,No,NA,,,,,,,,,,,,,,
MON0508,-36.316433,148.544989,1016.475464,507,E. dives,09/02/2021,1654,"Medium, healthy",0,Yes,0.4,,,,,,,,,,,,,,
MON0509,-36.316265,148.545454,1008.972961,508,E. rubida,09/02/2021,1658,"Medium, healthy",0,Yes,<0.1,,,,,,,,,,,,,,
MON0510,-36.286993,148.511859,1095.955566,509,E. pauciflora,10/02/2021,1443,,NA,No,NA,,,,,,,,,,,,,,
MON0511,-36.286509,148.51139,1118.906128,510,E. dalrympleana,10/02/2021,1448,Regrowth from stump,50,No,NA,,,,,,,,,,,,,,
MON0512,-36.280961,148.508648,1287.410889,511,E. pauciflora,10/02/2021,1535,"Small, healthy ",0,Yes,0.9,,,,,,,,,,,,,,
MON0513,-36.280991,148.508619,1291.274048,512,E. stellulata,10/02/2021,1541,"Very young, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0514,-36.285386,148.51247,1126.997437,513,E. delegatensis,10/02/2021,1454,For reference sequencing,NA,Yes,0.6,,,,,,,,,,,,,,
MON0515,-36.284031,148.5125,1147.818481,514,E. dalrympleana,10/02/2021,1504,"Large , healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0516,-36.280935,148.508752,1294.103271,515,E. dalrympleana,10/02/2021,1543,"Small, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0517,-36.277932,148.507665,1311.001343,516,E. stellulata,10/02/2021,1608,"Very young, healthy ",0,Yes,0.2,,,,,,,,,,,,,,
MON0518,-36.277819,148.507642,1317.79126,517,E. dalrympleana,10/02/2021,1609,"Large, healthy ",0,Yes,0.1,,,,,,,,,,,,,,
MON0519,-36.27774,148.507675,1318.191284,518,E. pauciflora,10/02/2021,1614,"Small, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0520,-36.273996,148.506954,1359.708862,519,E. pauciflora,10/02/2021,1623,"Small, healthy",0,Yes,0.75,,,,,,,,,,,,,,
MON0521,-36.273531,148.506886,1363.671509,520,E. dalrympleana,10/02/2021,1627,"Small, healthy",0,No,NA,,,,,,,,,,,,,,
MON0522,-36.273143,148.506789,1367.050415,521,E. stellulata,10/02/2021,1630,"Small, healthy",0,Yes,NA,,,,,,,,,,,,,,
MON0523,-36.271568,148.50908,1332.794434,522,E. stellulata,10/02/2021,1645,"Small, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0524,-36.271686,148.509967,1349.359497,523,E. pauciflora,10/02/2021,1650,,NA,Yes,0.2,,,,,,,,,,,,,,
MON0525,-36.273107,148.513137,1368.04895,524,E. pauciflora,10/02/2021,1659,"Small, healthy ",70,Yes,0.6,,,,,,,,,,,,,,
MON0526,-36.273137,148.51317,1371.706055,525,E. stellulata,10/02/2021,1704,"Small, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0527,-36.27354,148.514758,1384.005371,526,E. dalrympleana,10/02/2021,1712,"Young, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0528,-36.273726,148.516717,1396.416626,527,E. pauciflora,10/02/2021,1720,"Young, healthy",0,Yes,0.9,,,,,,,,,,,,,,
MON0529,-36.27379,148.516509,1398.558105,528,E. dalrympleana,10/02/2021,1724,Old broken,70,No,NA,,,,,,,,,,,,,,
MON0531,-36.337185,148.58334,957.366272,529,E. dives,11/02/2021,1233,"Young , healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0532,-36.337241,148.583306,960.881775,530,E. viminalis,11/02/2021,1235,"Young, healthy",0,Yes,<0.1,,,,,,,,,,,,,,
MON0533,-36.337213,148.583108,961.534973,531,E. rubida,11/02/2021,1238,Young,10,Yes,NA,,,,,,,,,,,,,,
MON0534,-36.33675,148.581386,956.451355,532,E. pauciflora,11/02/2021,1250,"Young, healthy ",0,Yes,0.3,,,,,,,,,,,,,,
MON0535,-36.336713,148.581374,954.588013,533,E. dives,11/02/2021,1250,"Meduim, healthy ",0,Yes,0.4,,,,,,,,,,,,,,
MON0536,-36.336893,148.581306,961.286438,534,E. viminalis,11/02/2021,1255,"Young, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0537,-36.336906,148.581414,956.235474,535,E. rubida,11/02/2021,1258,"Young, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0538,-36.3345,148.577441,952.637207,536,E. rubida,11/02/2021,1306,"Medium, healthy",0,Yes,0.1,,,,,,,,,,,,,,
MON0539,-36.334564,148.577474,955.067139,537,E. dives,11/02/2021,1308,"Young, healthy ",0,Yes,0.4,,,,,,,,,,,,,,
MON0540,-36.334327,148.577062,951.475952,538,E. pauciflora,11/02/2021,1315,"Juvenile or regrowth, healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0541,-36.333626,148.57558,953.958862,539,E. dives,11/02/2021,1324,"Young, healthy ",0,Yes,0.3,,,,,,,,,,,,,,
MON0542,-36.333492,148.575227,953.775757,540,E. pauciflora,11/02/2021,1329,Large healthy,0,Yes,0.3,,,,,,,,,,,,,,
MON0543,-36.333387,148.574957,950.921387,541,E. rubida,11/02/2021,1330,"Medium, healthy  ",0,No,NA,,,,,,,,,,,,,,
MON0544,-36.332616,148.57271,953.464478,542,E. viminalis,11/02/2021,1340,"Large, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0545,-36.332686,148.572723,943.998962,543,E. rubida,11/02/2021,1338,Medium,10,Yes,NA,,,,,,,,,,,,,,
MON0546,-36.332361,148.572562,954.18634,544,E. rubida,11/02/2021,1343,"Medium, healthy. Swap with MON0545",0,Yes,<0.1,,,,,,,,,,,,,,
MON0547,-36.331265,148.571505,946.00238,545,E. pauciflora,11/02/2021,1350,"Medium, healthy  ",0,No,NA,,,,,,,,,,,,,,
MON0548,-36.330919,148.570445,950.643982,546,E. rubida,11/02/2021,1354,"Medium, healthy",0,Yes,0.1,,,,,,,,,,,,,,
MON0550,-36.330533,148.569715,959.054016,547,E. dives,11/02/2021,1359,"Medium, healthy",0,Yes,1.5,,,,,,,,,,,,,,
MON0551,-36.33039,148.569581,961.16571,548,E. rubida,11/02/2021,1403,"Medium/large, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0552,-36.330032,148.568902,971.585876,549,E. pauciflora,11/02/2021,1408,"Young, healthy ",0,Yes,0.8,,,,,,,,,,,,,,
MON0553,-36.32999,148.566588,994.301575,550,E. dives,11/02/2021,1417,"Young, healthy ",0,Yes,0.2,,,,,,,,,,,,,,
MON0554,-36.329518,148.566659,1002.047974,551,E. rubida,11/02/2021,1421,"Medium, healthy  ",0,No,<0.1,,,,,,,,,,,,,,
MON0555,-36.32939,148.566698,1000.917175,552,E. viminalis,11/02/2021,1423,"Small, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0556,-36.328323,148.565904,1012.809265,553,E. rubida,11/02/2021,1431,"E. Dalrympleana? Young, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0557,-36.328322,148.56595,1013.730164,554,E. dives,11/02/2021,1434,"Medium/small, healthy ",0,Yes,0.2,,,,,,,,,,,,,,
MON0558,-36.326619,148.562704,1005.9776,555,E. pauciflora,11/02/2021,1441,"Medium, healthy  ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0559,-36.325944,148.560692,975.8703,556,E. dives,11/02/2021,1445,"Meduim, healthy ",0,Yes,0.6,,,,,,,,,,,,,,
MON0560,-36.325859,148.560424,984.50708,557,E. pauciflora,11/02/2021,1448,"Medium, healthy",0,Yes,0.33,,,,,,,,,,,,,,
MON0561,-36.325665,148.559541,982.99823,558,E. viminalis,11/02/2021,1453,"Small, healthy",0,No,NA,,,,,,,,,,,,,,
MON0562,-36.325716,148.559491,986.726746,559,E. pauciflora,11/02/2021,1455,Medium,NA,Yes,0.33,,,,,,,,,,,,,,
MON0563,-36.324751,148.557982,993.33551,560,E. dives,11/02/2021,1523,"Medium/large, healthy ",0,Yes,0.4,,,,,,,,,,,,,,
MON0565,-36.324519,148.557943,993.666443,561,E. rubida,11/02/2021,1526,"Medium, healthy",0,Yes,<0.1,,,,,,,,,,,,,,
MON0566,-36.323458,148.556285,999.35437,562,E. viminalis,11/02/2021,1532,"Small, healthy",0,No,NA,,,,,,,,,,,,,,
MON0567,-36.323239,148.556282,1002.255859,563,E. rubida,11/02/2021,1534,Large,60,No,NA,,,,,,,,,,,,,,
MON0568,-36.320451,148.554107,989.380432,564,E. pauciflora,11/02/2021,1538,"Medium, healthy",0,Yes,NA,,,,,,,,,,,,,,
MON0569,-36.320526,148.554117,985.042358,565,E. viminalis,11/02/2021,1540,"Large, healthy",0,Yes,NA,,,,,,,,,,,,,,
MON0570,-36.319289,148.553028,989.536499,566,E. dives,11/02/2021,1545,Regroth very healthy,0,Yes,NA,,,,,,,,,,,,,,
MON0571,-36.318244,148.551264,992.4422,567,E. pauciflora,11/02/2021,1549,Small,NA,No,NA,,,,,,,,,,,,,,
MON0572,-36.317494,148.549055,983.027283,568,E. dives,11/02/2021,1553,"Medium, healthy  ",0,Yes,0.2,,,,,,,,,,,,,,
MON0573,-36.317538,148.549138,990.184326,569,E. viminalis,11/02/2021,1558,"Medium, tall, very healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0574,-36.317143,148.548254,984.251221,570,E. pauciflora,11/02/2021,1601,"Medium/large, healthy ",0,Yes,0.4,,,,,,,,,,,,,,
MON0575,-36.317243,148.548265,984.153564,571,E. viminalis,11/02/2021,1605,"Medium, stressed, burnt off canopy",NA,No,NA,,,,,,,,,,,,,,
MON0576,-36.316298,148.545671,1004.522217,572,E. viminalis,11/02/2021,1627,"Large, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0577,-36.317192,148.548442,982.177917,573,E. rubida,11/02/2021,1610,Young,NA,No,NA,,,,,,,,,,,,,,
MON0578,-36.316282,148.545928,1000.411621,574,E. rubida,11/02/2021,1620,E. Dalrympleana?,NA,Yes,<0.1,,,,,,,,,,,,,,
MON0579,-36.316292,148.545803,1000.716919,575,E. dives,11/02/2021,1622,"Medium, healthy  ",0,Yes,0.2,,,,,,,,,,,,,,
MON0580,-36.197882,148.662031,1189.11499,576,E. pauciflora,13/02/2021,959,"Large, heat fry ",15,Yes,0.33,,,,,,,,,,,,,,
MON0582,-36.197611,148.661365,1204.824097,577,E. rubida,13/02/2021,1002,"Medium, healthy  ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0583,-36.195428,148.659136,1210.971069,578,E. pauciflora,13/02/2021,1006,"Young, healthy ",0,Yes,0.75,,,,,,,,,,,,,,
MON0584,-36.195033,148.65854,1217.036255,579,E. rubida,13/02/2021,1010,"Large, healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0585,-36.193022,148.653766,1215.288086,580,E. rubida,13/02/2021,1014,"Large, healthy",20,Yes,NA,,,,,,,,,,,,,,
MON0586,-36.193022,148.653755,1215.581055,581,E. pauciflora,13/02/2021,1015,"Young, healthy",0,Yes,0.4,,,,,,,,,,,,,,
MON0587,-36.191327,148.649157,1181.260498,582,E. pauciflora,13/02/2021,1020,"Young, healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0588,-36.191145,148.648994,1178.858398,583,E. rubida,13/02/2021,1022,"Large, healthy ",5,No,NA,,,,,,,,,,,,,,
MON0589,-36.190964,148.648842,1174.801392,584,E. stellulata,13/02/2021,1024,"Large, healthy ",20,Yes,NA,,,,,,,,,,,,,,
MON0591,-36.189118,148.646857,1160.561646,585,E. pauciflora,13/02/2021,1029,"Medium, healthy  ",0,Yes,0.33,,,,,,,,,,,,,,
MON0592,-36.189055,148.64696,1160.363159,586,E. rubida,13/02/2021,1032,"Small, healthy ",0,No,NA,,,,,,,,,,,,,,
MON0593,-36.18742,148.645463,1149.476074,587,E. stellulata,13/02/2021,1039,"Young, healthy ",0,Yes,0.2,,,,,,,,,,,,,,
MON0594,-36.187429,148.645476,1148.352417,588,E. pauciflora,13/02/2021,1040,"Medium/youg, healthy ",0,Yes,0.7,,,,,,,,,,,,,,
MON0595,-36.186843,148.645177,1146.396484,589,E. rubida,13/02/2021,1043,"Medium, healthy  ",0,Yes,NA,,,,,,,,,,,,,,
MON0596,-36.185645,148.644635,1132.174072,590,E. stellulata,13/02/2021,1045,,NA,Yes,0.33,,,,,,,,,,,,,,
MON0597,-36.185706,148.644607,1141.543701,591,E. pauciflora,13/02/2021,1048,"Medium, healthy. Photo of packet after tree",0,Yes,0.5,,,,,,,,,,,,,,
MON0598,-36.244564,148.545946,1313.667114,592,E. stellulata,13/02/2021,1234,"Medium, healthy  ",0,Yes,NA,,,,,,,,,,,,,,
MON0599,-36.243877,148.548316,1314.107544,593,E. stellulata,13/02/2021,1238,"Large, healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0600,-36.242242,148.548715,1322.783813,594,E. pauciflora,13/02/2021,1241,Large,15,Yes,0.2,,,,,,,,,,,,,,
MON0601,-36.240615,148.549411,1353.011719,595,E. pauciflora,13/02/2021,1244,"Green, healthy",0,Yes,0.66,,,,,,,,,,,,,,
MON0602,-36.239774,148.550011,1365.262695,596,E. viminalis,13/02/2021,1248,"Viminalis? Medium, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0603,-36.238415,148.550704,1372.186157,597,E. rubida,13/02/2021,1303,"Young, healthy ",0,Yes,<0.1 ,,,,,,,,,,,,,,
MON0604,-36.238399,148.550703,1372.696045,598,E. pauciflora,13/02/2021,1304,"Small, healthy ",0,Yes,1,,,,,,,,,,,,,,
MON0605,-36.237902,148.551501,1363.106201,599,E. stellulata,13/02/2021,1308,"Large, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0606,-36.235854,148.553153,1365.946045,600,E. stellulata,13/02/2021,1311,"Large, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0608,-36.235613,148.554258,1365.288818,601,E. rubida,13/02/2021,1314,,NA,No,NA,,,,,,,,,,,,,,
MON0609,-36.235634,148.554245,1364.440918,602,E. pauciflora,13/02/2021,1315,"Young, healthy ",0,Yes,1.33,,,,,,,,,,,,,,
MON0610,-36.234315,148.554525,1363.841187,603,E. stellulata,13/02/2021,1320,"Medium, healthy  ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0611,-36.234301,148.554364,1362.033569,604,E. pauciflora,13/02/2021,1322,"Young, healthy ",0,Yes,0.33,,,,,,,,,,,,,,
MON0612,-36.232712,148.556377,1390.716553,605,E. pauciflora,13/02/2021,1327,"Medium, healthy  ",0,Yes,1,,,,,,,,,,,,,,
MON0613,-36.232856,148.556819,1388.319946,606,E. dalrympleana,13/02/2021,1333,"Large, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0614,-36.23291,148.556808,1395.845947,607,E. pauciflora,13/02/2021,1336,"Young, healthy ",0,Yes,0.1,,,,,,,,,,,,,,
MON0615,-36.231621,148.557883,1424.414917,608,E. pauciflora,13/02/2021,1339,"Very young, healthy ",0,Yes,0.5,,,,,,,,,,,,,,
MON0616,-36.23181,148.557976,1423.059814,609,E. rubida,13/02/2021,1342,"Young, healthy ",0,Yes,NA,,,,,,,,,,,,,,
MON0617,-36.230254,148.561356,1421.218384,610,E. rubida,13/02/2021,1349,"Large, healthy ",0,Yes,0.1,,,,,,,,,,,,,,
MON0618,-36.230182,148.561396,1424.256836,611,E. pauciflora,13/02/2021,1350,"Young, healthy ",0,Yes,1,,,,,,,,,,,,,,
MON0619,-36.229983,148.562119,1416.606812,612,E. dalrympleana,13/02/2021,1404,"Medium, healthy  ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0620,-36.22941,148.56278,1409.134644,613,E. pauciflora,13/02/2021,1407,"Young, healthy ",0,Yes,1.33,,,,,,,,,,,,,,
MON0621,-36.227756,148.56319,1385.276367,614,E. rubida,13/02/2021,1414,"Young, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0622,-36.227725,148.563207,1385.910156,615,E. pauciflora,13/02/2021,1414,Medium,30,Yes,0.8,,,,,,,,,,,,,,
MON0623,-36.227709,148.563203,1385.035889,616,E. stellulata,13/02/2021,1414,Medium,30,Yes,<0.1,,,,,,,,,,,,,,
MON0624,-36.225589,148.564209,1366.692261,617,E. stellulata,13/02/2021,1435,"Medium, healthy",0,Yes,<0.1,,,,,,,,,,,,,,
MON0625,-36.2238,148.566057,1359.697632,618,E. stellulata,13/02/2021,1438,Large,30,Yes,<0.1,,,,,,,,,,,,,,
MON0626,-36.22237,148.568014,1377.029907,619,E. pauciflora,13/02/2021,1443,"Medium, healthy  ",0,Yes,0.33,,,,,,,,,,,,,,
MON0627,-36.221775,148.57086,1404.608521,620,E. pauciflora,13/02/2021,1446,"Small, healthy ",0,Yes,0.33,,,,,,,,,,,,,,
MON0628,-36.220515,148.573249,1410.494507,621,E. rubida,13/02/2021,1452,"Large, healthy ",10,No,NA,,,,,,,,,,,,,,
MON0629,-36.220531,148.57332,1413.253174,622,E. pauciflora,13/02/2021,1451,Very large,70,Yes,0.66,,,,,,,,,,,,,,
MON0630,-36.218767,148.573394,1378.467041,623,E. rubida,13/02/2021,1455,Large,20,Yes,<0.1,,,,,,,,,,,,,,
MON0631,-36.218682,148.573427,1378.08252,624,E. pauciflora,13/02/2021,1505,"Young, healthy ",0,Yes,0.33,,,,,,,,,,,,,,
MON0632,-36.217024,148.573012,1373.986084,625,E. stellulata,13/02/2021,1510,Very large,15,No,NA,,,,,,,,,,,,,,
MON0633,-36.216348,148.573232,1369.898438,626,E. pauciflora,13/02/2021,1511,"Large, healthy ",4,Yes,0.33,,,,,,,,,,,,,,
MON0634,-36.21518,148.574937,1350.8479,627,E. rubida,13/02/2021,1516,Medium,30,Yes,<0.1,,,,,,,,,,,,,,
MON0635,-36.215777,148.575478,1341.427246,628,E. stellulata,13/02/2021,1523,Medium,20,Yes,<0.1,,,,,,,,,,,,,,
MON0636,-36.216107,148.575748,1335.522827,629,E. pauciflora,13/02/2021,1524,,NA,Yes,0.5,,,,,,,,,,,,,,
MON0637,-36.214769,148.578574,1322.021973,630,E. stellulata,13/02/2021,1529,"Medium, healthy  ",0,Yes,0.1,,,,,,,,,,,,,,
MON0638,-36.2123,148.5778,1361.951172,631,E. pauciflora,13/02/2021,1533,"Large, healthy ",0,Yes,0.33,,,,,,,,,,,,,,
MON0639,-36.21232,148.577799,1359.500366,632,E. stellulata,13/02/2021,1533,"Small, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0640,-36.209474,148.580091,1407.536499,633,E. rubida,13/02/2021,1540,Young,20,No,NA,,,,,,,,,,,,,,
MON0642,-36.209463,148.580129,1405.655029,634,E. pauciflora,13/02/2021,1540,"Small, healthy",0,Yes,1.2,,,,,,,,,,,,,,
MON0643,-36.207486,148.581551,1445.093018,635,E. dalrympleana,13/02/2021,1546,"Medium, healthy",0,Yes,NA,,,,,,,,,,,,,,
MON0644,-36.207748,148.581316,1436.387207,636,E. pauciflora,13/02/2021,1548,Medium,10,Yes,0.66,,,,,,,,,,,,,,
MON0645,-36.207279,148.582288,1437.222534,637,E. rubida,13/02/2021,1552,Large,5,Yes,<0.1,,,,,,,,,,,,,,
MON0646,-36.203488,148.586106,1487.890259,638,E. pauciflora,13/02/2021,1602,"Young, healthy ",0,Yes,0.5,,,,,,,,,,,,,,
MON0647,-36.201938,148.588184,1488.640869,639,E. pauciflora,13/02/2021,1607,Young,15,Yes,0.66,,,,,,,,,,,,,,
MON0648,-36.201755,148.588621,1482.346069,640,E. rubida,13/02/2021,1609,Medium,0,No,NA,,,,,,,,,,,,,,
MON0649,-36.201425,148.589086,1479.058228,641,E. dalrympleana,13/02/2021,1614,"Large, healthy ",0,Yes,<0.1,,,,,,,,,,,,,,
MON0650,-36.200985,148.590639,1456.343506,642,E. pauciflora,13/02/2021,1615,"Medium, healthy  ",0,Yes,0.33,,,,,,,,,,,,,,
MON0651,-36.20183,148.593575,1426.030273,643,E. dalrympleana,14/02/2021,1204,"Large, healthy ",5,Yes,0.6,,,,,,,,,,,,,,
MON0652,-36.201463,148.594036,1427.796021,644,E. pauciflora,14/02/2021,1212,Small,20,Yes,0.2,,,,,,,,,,,,,,
MON0653,-36.201886,148.596492,1429.952759,645,E. pauciflora,14/02/2021,1222,Large,10,Yes,NA,,,,,,,,,,,,,,
MON0654,-36.20145,148.596443,1424.122803,646,E. dalrympleana,14/02/2021,1224,,NA,No,NA,,,,,,,,,,,,,,
